time, platform_angle, joint_velocity
0.124000, 0.938247, 0.990421
0.125000, 0.939557, 0.952768
0.126000, 0.939339, 0.941663
0.127000, 0.940369, 0.926485
0.128000, 0.940398, 0.902699
0.129000, 0.942191, 0.883222
0.130000, 0.943125, 0.876158
0.131000, 0.943008, 0.864602
0.132000, 0.945109, 0.859801
0.133000, 0.945881, 0.842528
0.134000, 0.945745, 0.826236
0.135000, 0.945844, 0.821366
0.136000, 0.947386, 0.804032
0.137000, 0.947288, 0.788054
0.138000, 0.950013, 0.780601
0.139000, 0.950332, 0.780341
0.140000, 0.950752, 0.767664
0.141000, 0.951100, 0.762720
0.142000, 0.952748, 0.738248
0.143000, 0.953495, 0.722807
0.144000, 0.953705, 0.711267
0.145000, 0.952789, 0.706602
0.146000, 0.954912, 0.694625
0.147000, 0.956989, 0.677683
0.148000, 0.957639, 0.667980
0.149000, 0.958413, 0.673966
0.150000, 0.958540, 0.661366
0.151000, 0.957833, 0.638396
0.152000, 0.960165, 0.620208
0.153000, 0.961481, 0.607905
0.154000, 0.959532, 0.597612
0.155000, 0.960812, 0.602780
0.156000, 0.962627, 0.588721
0.157000, 0.962584, 0.566380
0.158000, 0.961399, 0.572424
0.159000, 0.963204, 0.568972
0.160000, 0.964224, 0.550007
0.161000, 0.963948, 0.541574
0.162000, 0.962604, 0.547288
0.163000, 0.965354, 0.540228
0.164000, 0.966161, 0.525905
0.165000, 0.967326, 0.517715
0.166000, 0.968382, 0.527990
0.167000, 0.967244, 0.513661
0.168000, 0.967635, 0.497346
0.169000, 0.968827, 0.481207
0.170000, 0.970096, 0.466247
0.171000, 0.969783, 0.467556
0.172000, 0.968811, 0.463752
0.173000, 0.968716, 0.456008
0.174000, 0.971338, 0.441680
0.175000, 0.970278, 0.437149
0.176000, 0.969778, 0.442787
0.177000, 0.971464, 0.446442
0.178000, 0.973174, 0.429060
0.179000, 0.973537, 0.424477
0.180000, 0.975759, 0.430688
0.181000, 0.975892, 0.419905
0.182000, 0.972814, 0.401492
0.183000, 0.974336, 0.389932
0.184000, 0.972512, 0.369067
0.185000, 0.976580, 0.352285
0.186000, 0.975758, 0.371345
0.187000, 0.977297, 0.370119
0.188000, 0.976942, 0.385096
0.189000, 0.977178, 0.358989
0.190000, 0.976358, 0.353282
0.191000, 0.978540, 0.338434
0.192000, 0.977687, 0.332124
0.193000, 0.977062, 0.329646
0.194000, 0.978381, 0.336008
0.195000, 0.977874, 0.320572
0.196000, 0.979379, 0.317696
0.197000, 0.979550, 0.323828
0.198000, 0.980630, 0.317292
0.199000, 0.980581, 0.318228
0.200000, 0.980194, 0.306344
0.201000, 0.981592, 0.299718
0.202000, 0.981696, 0.287249
0.203000, 0.981906, 0.280427
0.204000, 0.982518, 0.283963
0.205000, 0.981935, 0.273214
0.206000, 0.983121, 0.266293
0.207000, 0.982437, 0.264455
0.208000, 0.984750, 0.255378
0.209000, 0.982754, 0.257484
0.210000, 0.983068, 0.250257
0.211000, 0.981562, 0.252851
0.212000, 0.982933, 0.233709
0.213000, 0.983953, 0.240292
0.214000, 0.984779, 0.239756
0.215000, 0.982519, 0.253508
0.216000, 0.982422, 0.250054
0.217000, 0.984794, 0.240261
0.218000, 0.982334, 0.226549
0.219000, 0.984694, 0.237881
0.220000, 0.985591, 0.249526
0.221000, 0.983996, 0.229426
0.222000, 0.984798, 0.241639
0.223000, 0.985141, 0.230827
0.224000, 0.987408, 0.217065
